frame,PathIDX,timestamp,seconds,head_pos,head_euler,head_quaternion,gaze_confidence,gaze_pos,target_pos,gaze_vector,target_vector,gaze_vis_x,gaze_vis_y,target_vis_x,target_vis_y,local_x_axis,local_y_axis,local_z_axis,left_right_eye_center,left_right_eye_center_confidence,left_right_eye_gaze,left_right_eye_forward_gaze,left_right_eye_is_blinking,left_right_eye_pupil_size,calibration_status
11,99,03/15/2023 10:03:21.3652 PM,575.7009,(-1.7407240_ -0.0085957_ 1.1871830),(354.2987000_ 316.4691000_ 357.9285000),(0.0394849_ 0.3711238_ 0.0352048_ -0.9270754),0.5,(-2.0511260_ 0.2102196_ 1.6318290),(-2.1922770_ -0.1300983_ 1.9745280),(0.0752078_ 0.1672980_ 0.5552423),(0.2223001_ -0.2006000_ 0.8654000),7.713795,16.76788,14.40641,-13.0507,(0.7220556_ -0.0359674_ 0.6908996),(0.0945825_ 0.9944031_ -0.0470803),(-0.6853393_ 0.0993417_ 0.7214162),(-1.7687320_ -0.0078635_ 1.1737710):(-1.7209410_ -0.0108423_ 1.2177160),1:1,(-0.0020174_ 0.3701319_ 0.0213541_ -0.9287316):(0.1760308_ 0.3289233_ 0.0920963_ -0.9232231),(-0.6875925_ 0.0120604_ 0.7259966):(-0.5749156_ 0.3856166_ 0.7216452),False:False,4.4900000:4.4000000,Good
12,99,03/15/2023 10:03:21.3786 PM,575.7174,(-1.7437330_ -0.0093158_ 1.1929030),(354.1909000_ 316.6392000_ 357.8842000),(0.0402677_ 0.3697608_ 0.0358511_ -0.9275614),0.45,(-2.0549450_ 0.2089070_ 1.6365870),(-2.1932310_ -0.1293238_ 1.9816520),(0.0722995_ 0.1656079_ 0.5555853),(0.2223000_ -0.2006000_ 0.8654000),7.414355,16.59818,14.4064,-13.0507,(0.7239833_ -0.0367293_ 0.6888390),(0.0962870_ 0.9941864_ -0.0481889),(-0.6830644_ 0.1012142_ 0.7233109),(-1.7720690_ -0.0088653_ 1.1798410):(-1.7241020_ -0.0119075_ 1.2235920),1:0.9,(-0.0017363_ 0.3688767_ 0.0222702_ -0.9292099):(0.1758449_ 0.3300387_ 0.0925404_ -0.9228160),(-0.6856050_ 0.0132031_ 0.7278540):(-0.5765845_ 0.3856288_ 0.7203060),False:False,4.4800000:4.3700000,Good
13,99,03/15/2023 10:03:21.3954 PM,575.734,(-1.7462470_ -0.0098832_ 1.1989240),(354.1205000_ 316.7662000_ 357.8992000),(0.0409261_ 0.3687263_ 0.0359109_ -0.9279420),0.45,(-2.0564280_ 0.2083611_ 1.6433230),(-2.1940520_ -0.1287513_ 1.9888070),(0.0724190_ 0.1649310_ 0.5557760),(0.2223000_ -0.2006000_ 0.8654000),7.423952,16.52868,14.4064,-13.05069,(0.7255027_ -0.0364654_ 0.6872526),(0.0968276_ 0.9940709_ -0.0494716),(-0.6813738_ 0.1024368_ 0.7247320),(-1.7741440_ -0.0093292_ 1.1861720):(-1.7260970_ -0.0123044_ 1.2298390),1:0.9,(-0.0016974_ 0.3680582_ 0.0217279_ -0.9295473):(0.1759639_ 0.3293298_ 0.0918526_ -0.9231153),(-0.6843287_ 0.0128387_ 0.7290606):(-0.5756931_ 0.3853694_ 0.7211573),False:False,4.4800000:4.3700000,Good
14,99,03/15/2023 10:03:21.4121 PM,575.7507,(-1.7488980_ -0.0104173_ 1.2051150),(354.0059000_ 316.8990000_ 357.8488000),(0.0417354_ 0.3676668_ 0.0366376_ -0.9282979),0.45,(-2.0608680_ 0.2054177_ 1.6474800),(-2.1951790_ -0.1277080_ 1.9960960),(0.0684682_ 0.1613496_ 0.5557656),(0.2223000_ -0.2006000_ 0.8653999),7.023234,16.18904,14.4064,-13.0507,(0.7269577_ -0.0373318_ 0.6856668),(0.0987106_ 0.9938317_ -0.0505449),(-0.6795504_ 0.1044266_ 0.7261586),(-1.7773060_ -0.0091866_ 1.1918400):(-1.7292520_ -0.0122632_ 1.2355630),1:0.9,(-0.0014030_ 0.3671557_ 0.0220503_ -0.9298970):(0.1738011_ 0.3310667_ 0.0910087_ -0.9229872),(-0.6828959_ 0.0135825_ 0.7303894):(-0.5795058_ 0.3810922_ 0.7203761),False:False,4.4900000:4.3500000,Good
15,99,03/15/2023 10:03:21.4291 PM,575.7676,(-1.7514880_ -0.0098575_ 1.2109350),(354.0233000_ 317.0473000_ 357.8127000),(0.0415255_ 0.3664789_ 0.0368205_ -0.9287696),0.45,(-2.0618290_ 0.2061894_ 1.6552140),(-2.1958040_ -0.1275519_ 2.0029620),(0.0694632_ 0.1617650_ 0.5562181),(0.2222998_ -0.2006000_ 0.8654000),7.118517,16.21602,14.40639,-13.0507,(0.7286749_ -0.0379590_ 0.6838070),(0.0988319_ 0.9938398_ -0.0501474),(-0.6776910_ 0.1041231_ 0.7279377),(-1.7792240_ -0.0076129_ 1.1986030):(-1.7310760_ -0.0107577_ 1.2422170),1:0.9,(-0.0021846_ 0.3661353_ 0.0223079_ -0.9302917):(0.1731015_ 0.3300056_ 0.0910475_ -0.9234948),(-0.6813226_ 0.0122708_ 0.7318804):(-0.5779960_ 0.3798090_ 0.7222643),False:False,4.4900000:4.3500000,Good
16,99,03/15/2023 10:03:21.4455 PM,575.7836,(-1.7540070_ -0.0091955_ 1.2175860),(353.6716000_ 317.1620000_ 357.7023000),(0.0440641_ 0.3655854_ 0.0387896_ -0.9289247),0.5,(-2.0617170_ 0.2160574_ 1.6593730),(-2.1975410_ -0.1218810_ 2.0107790),(0.0680658_ 0.1679745_ 0.5547533),(0.2222999_ -0.2006000_ 0.8653998),6.994983,16.84586,14.4064,-13.0507,(0.7296854_ -0.0398469_ 0.6826209),(0.1042837_ 0.9931074_ -0.0535026),(-0.6757841_ 0.1102263_ 0.7288114),(-1.7822800_ -0.0068476_ 1.2047930):(-1.7340380_ -0.0102247_ 1.2483050),1:1,(0.0044152_ 0.3651353_ 0.0267584_ -0.9305593):(0.1804815_ 0.3290405_ 0.0957674_ -0.9219477),(-0.6793239_ 0.0277581_ 0.7333134):(-0.5721477_ 0.3958117_ 0.7183176),False:False,4.4800000:4.3600000,Good
17,99,03/15/2023 10:03:21.4673 PM,575.8042,(-1.7563010_ -0.0098455_ 1.2236260),(353.6868000_ 317.2738000_ 357.5367000),(0.0434518_ 0.3647430_ 0.0400422_ -0.9292315),0.5,(-2.0655420_ 0.2074987_ 1.6682600),(-2.1987590_ -0.1233785_ 2.0172980),(0.0676947_ 0.1600936_ 0.5570953),(0.2223000_ -0.2006000_ 0.8654000),6.928257,16.03317,14.4064,-13.0507,(0.7307184_ -0.0427194_ 0.6813412),(0.1061144_ 0.9930171_ -0.0515434),(-0.6743816_ 0.1099638_ 0.7301490),(-1.7837140_ -0.0080733_ 1.2116230):(-1.7354890_ -0.0114970_ 1.2551500),1:1,(-0.0021813_ 0.3654929_ 0.0246652_ -0.9304847):(0.1740478_ 0.3297912_ 0.0936092_ -0.9231373),(-0.6802788_ 0.0139705_ 0.7328203):(-0.5763001_ 0.3830830_ 0.7218903),False:False,4.4800000:4.3600000,Good
18,99,03/15/2023 10:03:21.4787 PM,575.8176,(-1.7583890_ -0.0093735_ 1.2298690),(353.7501000_ 317.3632000_ 357.4444000),(0.0426763_ 0.3640518_ 0.0405565_ -0.9295161),0.45,(-2.0652110_ 0.2092923_ 1.6714820),(-2.1997960_ -0.1242233_ 2.0239380),(0.0662290_ 0.1624875_ 0.5533428),(0.2222999_ -0.2006000_ 0.8654001),6.825204,16.36472,14.4064,-13.05069,(0.7316428_ -0.0443232_ 0.6802457),(0.1064687_ 0.9930678_ -0.0498072),(-0.6733225_ 0.1088659_ 0.7312900),(-1.7855110_ -0.0073177_ 1.2144140):(-1.7372160_ -0.0110400_ 1.2578330),1:0.9,(-0.0009474_ 0.3642700_ 0.0272744_ -0.9308934):(0.1748277_ 0.3283955_ 0.0957972_ -0.9232630),(-0.6782448_ 0.0181066_ 0.7346129):(-0.5728948_ 0.3857427_ 0.7231834),False:False,4.4800000:4.3600000,Good
19,99,03/15/2023 10:03:21.4964 PM,575.8347,(-1.7608710_ -0.0097560_ 1.2365070),(353.5826000_ 317.5471000_ 357.3034000),(0.0436555_ 0.3626150_ 0.0421589_ -0.9299608),0.45,(-2.0649460_ 0.2109680_ 1.6790350),(-2.2003730_ -0.1225449_ 2.0319260),(0.0667368_ 0.1632265_ 0.5530958),(0.2223002_ -0.2006000_ 0.8653999),6.880077,16.44208,14.40641,-13.0507,(0.7334659_ -0.0467520_ 0.6781166),(0.1100725_ 0.9926336_ -0.0506209),(-0.6707547_ 0.1117707_ 0.7332090),(-1.7872620_ -0.0074610_ 1.2216030):(-1.7388720_ -0.0113044_ 1.2649050),1:0.9,(0.0005402_ 0.3631100_ 0.0288139_ -0.9313005):(0.1763254_ 0.3269545_ 0.0971268_ -0.9233507),(-0.6762979_ 0.0219314_ 0.7363017):(-0.5695356_ 0.3891324_ 0.7240202),False:False,4.4800000:4.3600000,Good
20,99,03/15/2023 10:03:21.5124 PM,575.8507,(-1.7631090_ -0.0092571_ 1.2428550),(353.4422000_ 317.6320000_ 357.2174000),(0.0445560_ 0.3619610_ 0.0432654_ -0.9301221),0.5,(-2.0681560_ 0.2126198_ 1.6833890),(-2.2018740_ -0.1201971_ 2.0389400),(0.0636513_ 0.1630585_ 0.5529143),(0.2223001_ -0.2006000_ 0.8654000),6.566962,16.43118,14.40641,-13.05069,(0.7342247_ -0.0482290_ 0.6771913),(0.1127392_ 0.9922857_ -0.0515644),(-0.6694804_ 0.1142059_ 0.7339981),(-1.7895860_ -0.0068207_ 1.2276620):(-1.7412730_ -0.0107835_ 1.2709950),1:1,(0.0016538_ 0.3627325_ 0.0294939_ -0.9314250):(0.1772525_ 0.3284300_ 0.0976600_ -0.9225929),(-0.6756186_ 0.0244775_ 0.7368448):(-0.5713935_ 0.3912128_ 0.7214305),False:False,4.4800000:4.3300000,Good
