frame,PathIDX,timestamp,seconds,head_pos,head_euler,head_quaternion,gaze_confidence,gaze_pos,target_pos,gaze_vector,target_vector,gaze_vis_x,gaze_vis_y,target_vis_x,target_vis_y,local_x_axis,local_y_axis,local_z_axis,left_right_eye_center,left_right_eye_center_confidence,left_right_eye_gaze,left_right_eye_forward_gaze,left_right_eye_is_blinking,left_right_eye_pupil_size,calibration_status
555,99,03/15/2023 10:03:30.4506 PM,584.7888,(-1.3215690_ -0.4616866_ 2.3243360),(18.8444600_ 119.6845000_ 359.8336000),(0.0810055_ 0.8530988_ -0.1422697_ 0.4953988),0.75,(-1.0749140_ -0.5672904_ 2.1939860),(-0.7763084_ -0.9316689_ 1.7583120),(-0.0088769_ -0.0099048_ 0.2980010),(0.2223000_ -0.2006000_ 0.8653999),-1.706233,-1.903661,14.4064,-13.0507,(-0.4960363_ -0.0027491_ -0.8682974),(0.2791718_ 0.9463949_ -0.1624801),(0.8221989_ -0.3230002_ -0.4686787),(-1.3083100_ -0.4658251_ 2.3516840):(-1.3414710_ -0.4662045_ 2.2961650),1:1,(-0.0758013_ -0.8284026_ 0.1565395_ -0.5324469):(0.0837477_ 0.8569002_ -0.1472889_ 0.4868415),(0.8584290_ -0.3400759_ -0.3839935):(0.8096790_ -0.3339675_ -0.4825833),False:False,4.2700000:4.1600000,Good
556,99,03/15/2023 10:03:30.4697 PM,584.8079,(-1.3254150_ -0.4658511_ 2.3243640),(19.0024900_ 119.6137000_ 359.7386000),(0.0810706_ 0.8526654_ -0.1438063_ 0.4956904),0.75,(-1.0802240_ -0.5722229_ 2.1949990),(-0.7805252_ -0.9382586_ 1.7600050),(-0.0086470_ -0.0103916_ 0.2966253),(0.2222999_ -0.2006000_ 0.8654000),-1.669773,-2.006405,14.4064,-13.05069,(-0.4954371_ -0.0043146_ -0.8686331),(0.2808191_ 0.9454946_ -0.1648655),(0.8219993_ -0.3256092_ -0.4672215),(-1.3132990_ -0.4696644_ 2.3524630):(-1.3464650_ -0.4700790_ 2.2969480),1:1,(-0.0764012_ -0.8281132_ 0.1583629_ -0.5322720):(0.0844470_ 0.8566085_ -0.1490782_ 0.4866894),(0.8573647_ -0.3436172_ -0.3832172):(0.8086262_ -0.3376022_ -0.4818188),False:False,4.2700000:4.1600000,Good
557,99,03/15/2023 10:03:30.4833 PM,584.8218,(-1.3302640_ -0.4701656_ 2.3245230),(19.0814000_ 119.5854000_ 359.7627000),(0.0816276_ 0.8524280_ -0.1442686_ 0.4958731),0.67,(-1.0835790_ -0.5750980_ 2.1979760),(-0.7856768_ -0.9435210_ 1.7606660),(-0.0117105_ -0.0086607_ 0.2960851),(0.2223001_ -0.2005999_ 0.8654002),-2.264924,-1.675466,14.4064,-13.05069,(-0.4948937_ -0.0039145_ -0.8689448),(0.2822412_ 0.9450470_ -0.1650033),(0.8218396_ -0.3269110_ -0.4665930),(-1.3188580_ -0.4737886_ 2.3528580):(-1.3518130_ -0.4741303_ 2.2972650),0.9:1,(-0.0764381_ -0.8255964_ 0.1586220_ -0.5360854):(0.0816718_ 0.8540816_ -0.1453227_ 0.4927027),(0.8609309_ -0.3438702_ -0.3749044):(0.8178791_ -0.3287146_ -0.4722513),False:False,4.2400000:4.1800000,Good
558,99,03/15/2023 10:03:30.5038 PM,584.8424,(-1.3355380_ -0.4733835_ 2.3250440),(19.2504800_ 119.5314000_ 359.7385000),(0.0822491_ 0.8520009_ -0.1455915_ 0.4961176),0.67,(-1.0894040_ -0.5776714_ 2.1989500),(-0.7916228_ -0.9490442_ 1.7624800),(-0.0115729_ -0.0074107_ 0.2952439),(0.2223001_ -0.2006000_ 0.8654001),-2.244723,-1.437834,14.4064,-13.05069,(-0.4942049_ -0.0043083_ -0.8693349),(0.2846137_ 0.9440764_ -0.1664777),(0.8214357_ -0.3296987_ -0.4653410),(-1.3245770_ -0.4757366_ 2.3535810):(-1.3575760_ -0.4763218_ 2.2980160),0.9:1,(-0.0751598_ -0.8254717_ 0.1603778_ -0.5359351):(0.0804895_ 0.8539690_ -0.1471452_ 0.4925511),(0.8606906_ -0.3453363_ -0.3741050):(0.8175595_ -0.3306052_ -0.4714833),False:False,4.2400000:4.1800000,Good
559,99,03/15/2023 10:03:30.5168 PM,584.8557,(-1.3411020_ -0.4761781_ 2.3257530),(19.1997100_ 119.5144000_ 359.6088000),(0.0810861_ 0.8520829_ -0.1457636_ 0.4961177),0.75,(-1.0931520_ -0.5762556_ 2.2003090),(-0.7965708_ -0.9516463_ 1.7636220),(-0.0129630_ -0.0033163_ 0.2950455),(0.2223002_ -0.2005999_ 0.8654002),-2.515698,-0.6439788,14.40641,-13.05069,(-0.4945847_ -0.0064476_ -0.8691057),(0.2828161_ 0.9443560_ -0.1679488),(0.8218280_ -0.3288619_ -0.4652406),(-1.3304920_ -0.4781196_ 2.3545250):(-1.3636990_ -0.4786207_ 2.2989010),1:1,(-0.0708501_ -0.8259978_ 0.1545652_ -0.5374176):(0.0760555_ 0.8529348_ -0.1424290_ 0.4964190),(0.8659096_ -0.3314932_ -0.3745843):(0.8251610_ -0.3184761_ -0.4665645),False:False,4.2600000:4.2100000,Good
560,99,03/15/2023 10:03:30.5333 PM,584.8719,(-1.3470210_ -0.4777532_ 2.3265890),(18.8652300_ 119.5098000_ 359.4465000),(0.0784331_ 0.8525870_ -0.1439772_ 0.4961997),0.75,(-1.0983930_ -0.5738219_ 2.2003340),(-0.7999347_ -0.9494217_ 1.7637390),(-0.0125827_ -0.0009580_ 0.2946628),(0.2223000_ -0.2006000_ 0.8654001),-2.445157,-0.1862738,14.4064,-13.05069,(-0.4952682_ -0.0091408_ -0.8686920),(0.2766250_ 0.9462376_ -0.1676692),(0.8235217_ -0.3233432_ -0.4661129),(-1.3364420_ -0.4789814_ 2.3555180):(-1.3697850_ -0.4796606_ 2.2999780),1:1,(-0.0668944_ -0.8273659_ 0.1500550_ -0.5370980):(0.0718857_ 0.8542572_ -0.1381117_ 0.4959861),(0.8686775_ -0.3201585_ -0.3780185):(0.8275430_ -0.3072744_ -0.4698459),False:False,4.2600000:4.2100000,Good
561,99,03/15/2023 10:03:30.5507 PM,584.889,(-1.3532860_ -0.4789292_ 2.3276810),(18.4730700_ 119.5481000_ 359.2611000),(0.0753024_ 0.8533469_ -0.1418895_ 0.4959799),0.75,(-1.1027490_ -0.5671083_ 2.1998290),(-0.8036546_ -0.9461056_ 1.7635660),(-0.0123986_ 0.0052434_ 0.2944640),(0.2222999_ -0.2006001_ 0.8654000),-2.41106,1.020135,14.40639,-13.0507,(-0.4966671_ -0.0122306_ -0.8678550),(0.2692668_ 0.9483938_ -0.1674651),(0.8251165_ -0.3168589_ -0.4677427),(-1.3428880_ -0.4791752_ 2.3566040):(-1.3763240_ -0.4802445_ 2.3011110),1:1,(-0.0582885_ -0.8298838_ 0.1399495_ -0.5369446):(0.0634999_ 0.8559778_ -0.1293679_ 0.4965216),(0.8748884_ -0.2948790_ -0.3842094):(0.8335933_ -0.2845303_ -0.4734606),False:False,4.2400000:4.2100000,Good
562,99,03/15/2023 10:03:30.5681 PM,584.906,(-1.3598840_ -0.4798610_ 2.3293540),(18.0842300_ 119.5490000_ 359.2413000),(0.0734636_ 0.8538187_ -0.1390833_ 0.4962384),0.75,(-1.1094230_ -0.5665556_ 2.2018510),(-0.8075043_ -0.9419662_ 1.7637470),(-0.0126622_ 0.0045741_ 0.2938060),(0.2222999_ -0.2006000_ 0.8654001),-2.46775,0.8919421,14.40639,-13.0507,(-0.4967011_ -0.0125878_ -0.8678304),(0.2634861_ 0.9505178_ -0.1645930),(0.8269602_ -0.3104148_ -0.4688066),(-1.3501120_ -0.4799213_ 2.3585060):(-1.3834700_ -0.4809967_ 2.3029670),1:1,(-0.0573551_ -0.8298000_ 0.1379190_ -0.5377000):(0.0624625_ 0.8559186_ -0.1273840_ 0.4972678),(0.8765463_ -0.2905700_ -0.3837153):(0.8353281_ -0.2801818_ -0.4729966),False:False,4.2400000:4.2100000,Good
563,99,03/15/2023 10:03:30.5843 PM,584.9229,(-1.3666230_ -0.4809256_ 2.3310740),(17.7304300_ 119.4961000_ 359.2620000),(0.0721433_ 0.8539811_ -0.1363265_ 0.4969172),0.75,(-1.1144520_ -0.5628725_ 2.2035880),(-0.8112652_ -0.9382564_ 1.7645040),(-0.0132985_ 0.0077331_ 0.2938053),(0.2223001_ -0.2006000_ 0.8654000),-2.591602,1.507697,14.4064,-13.05069,(-0.4957372_ -0.0122679_ -0.8683859),(0.2587040_ 0.9524209_ -0.1611419),(0.8290458_ -0.3045389_ -0.4689767),(-1.3569780_ -0.4808541_ 2.3605540):(-1.3902880_ -0.4817714_ 2.3049820),1:1,(-0.0546426_ -0.8295544_ 0.1311001_ -0.5400617):(0.0591863_ 0.8567559_ -0.1191778_ 0.4982600),(0.8816937_ -0.2765301_ -0.3822926):(0.8396669_ -0.2631929_ -0.4750674),False:False,4.2400000:4.2200000,Good
564,99,03/15/2023 10:03:30.6004 PM,584.9393,(-1.3731370_ -0.4812317_ 2.3329730),(17.4529500_ 119.3500000_ 359.2182000),(0.0707806_ 0.8536857_ -0.1343604_ 0.4981548),0.75,(-1.1198280_ -0.5606822_ 2.2059470),(-0.8143810_ -0.9350254_ 1.7669000),(-0.0135596_ 0.0089177_ 0.2938536),(0.2223001_ -0.2005999_ 0.8654001),-2.641994,1.738244,14.4064,-13.05069,(-0.4936640_ -0.0130158_ -0.8695555),(0.2547134_ 0.9538748_ -0.1588838),(0.8315150_ -0.2999226_ -0.4675783),(-1.3631610_ -0.4803297_ 2.3625240):(-1.3963230_ -0.4812435_ 2.3068620),1:1,(-0.0535836_ -0.8291789_ 0.1284543_ -0.5413790):(0.0579820_ 0.8564277_ -0.1165880_ 0.4995770),(0.8840341_ -0.2710412_ -0.3808178):(0.8421831_ -0.2576314_ -0.4736606),False:False,4.2400000:4.2200000,Good
565,99,03/15/2023 10:03:30.6202 PM,584.9584,(-1.3792400_ -0.4807088_ 2.3346050),(17.1628700_ 119.3258000_ 359.0984000),(0.0686496_ 0.8539729_ -0.1327082_ 0.4984035),0.75,(-1.1270660_ -0.5606968_ 2.2068540),(-0.8181598_ -0.9310645_ 1.7680860),(-0.0122365_ 0.0067233_ 0.2934542),(0.2222999_ -0.2006000_ 0.8654001),-2.387745,1.312459,14.4064,-13.0507,(-0.4937625_ -0.0150347_ -0.8694670),(0.2495344_ 0.9553515_ -0.1582280),(0.8330255_ -0.2950889_ -0.4679650),(-1.3699010_ -0.4803444_ 2.3640570):(-1.4032240_ -0.4814399_ 2.3084310),1:1,(-0.0522175_ -0.8305784_ 0.1287701_ -0.5392873):(0.0565338_ 0.8566193_ -0.1177086_ 0.4991512),(0.8823927_ -0.2702278_ -0.3851743):(0.8418560_ -0.2581008_ -0.4739853),False:False,4.2500000:4.2400000,Good
566,99,03/15/2023 10:03:30.6350 PM,584.9734,(-1.3863250_ -0.4810101_ 2.3366880),(16.7182100_ 119.3603000_ 358.9225000),(0.0653560_ 0.8547026_ -0.1301835_ 0.4982615),0.75,(-1.1329990_ -0.5574616_ 2.2089720),(-0.8224210_ -0.9260461_ 1.7687710),(-0.0130489_ 0.0080622_ 0.2934197),(0.2223001_ -0.2005999_ 0.8654004),-2.546371,1.573906,14.4064,-13.05068,(-0.4949285_ -0.0180110_ -0.8687474),(0.2414507_ 0.9575617_ -0.1574075),(0.8347143_ -0.2876650_ -0.4695758),(-1.3763450_ -0.4795690_ 2.3666230):(-1.4097550_ -0.4809915_ 2.3110560),1:1,(-0.0479738_ -0.8313223_ 0.1260532_ -0.5391769):(0.0521667_ 0.8573479_ -0.1151952_ 0.4989620),(0.8843650_ -0.2613144_ -0.3867962):(0.8435493_ -0.2495831_ -0.4755336),False:False,4.2500000:4.2400000,Good
567,99,03/15/2023 10:03:30.6519 PM,584.9902,(-1.3931150_ -0.4803186_ 2.3390780),(16.2392800_ 119.4202000_ 358.7957000),(0.0622510_ 0.8555299_ -0.1271996_ 0.4980097),0.75,(-1.1407110_ -0.5572729_ 2.2102860),(-0.8264830_ -0.9193667_ 1.7692180),(-0.0119094_ 0.0050406_ 0.2933425),(0.2223000_ -0.2006000_ 0.8653998),-2.324873,0.9844449,14.4064,-13.0507,(-0.4962223_ -0.0201782_ -0.8679609),(0.2332084_ 0.9598901_ -0.1556430),(0.8362877_ -0.2796493_ -0.4716132),(-1.3832230_ -0.4792414_ 2.3686690):(-1.4165670_ -0.4807835_ 2.3130400),1:1,(-0.0489394_ -0.8322797_ 0.1267144_ -0.5374569):(0.0520835_ 0.8580875_ -0.1146855_ 0.4978160),(0.8822263_ -0.2635293_ -0.3901694):(0.8423930_ -0.2486764_ -0.4780538),False:False,4.2400000:4.2300000,Good
568,99,03/15/2023 10:03:30.6677 PM,585.0061,(-1.3998610_ -0.4800472_ 2.3415590),(15.9112000_ 119.2788000_ 358.7537000),(0.0606577_ 0.8552672_ -0.1248620_ 0.4992477),0.75,(-1.1463380_ -0.5544637_ 2.2140890),(-0.8296065_ -0.9148129_ 1.7720290),(-0.0129325_ 0.0058686_ 0.2930160),(0.2223000_ -0.2006000_ 0.8654001),-2.527148,1.147382,14.4064,-13.05069,(-0.4941449_ -0.0209171_ -0.8691280),(0.2284312_ 0.9614602_ -0.1530143),(0.8388327_ -0.2741472_ -0.4703225),(-1.3897870_ -0.4783020_ 2.3719450):(-1.4229620_ -0.4799323_ 2.3162170),1:1,(-0.0470883_ -0.8317979_ 0.1240526_ -0.5389868):(0.0500911_ 0.8576590_ -0.1121158_ 0.4993418),(0.8849733_ -0.2571333_ -0.3882101):(0.8452981_ -0.2423395_ -0.4761763),False:False,4.2400000:4.2300000,Good
569,99,03/15/2023 10:03:30.6849 PM,585.0232,(-1.4068160_ -0.4800291_ 2.3445810),(15.6192100_ 119.1437000_ 358.6761000),(0.0589441_ 0.8550054_ -0.1229551_ 0.5003732),0.75,(-1.1540660_ -0.5572751_ 2.2186740),(-0.8332280_ -0.9111190_ 1.7756060),(-0.0131546_ 0.0012481_ 0.2924512),(0.2223001_ -0.2006000_ 0.8654000),-2.575456,0.2445163,14.4064,-13.05069,(-0.4923044_ -0.0222518_ -0.8701385),(0.2238420_ 0.9628152_ -0.1512665),(0.8411486_ -0.2692427_ -0.4690174),(-1.3970670_ -0.4786091_ 2.3753660):(-1.4300900_ -0.4801278_ 2.3195880),1:1,(-0.0493268_ -0.8291401_ 0.1278029_ -0.5419967):(0.0532643_ 0.8577990_ -0.1157094_ 0.4979511),(0.8861742_ -0.2654030_ -0.3798130):(0.8419576_ -0.2515567_ -0.4773123),False:False,4.2500000:4.2500000,Good
570,99,03/15/2023 10:03:30.7011 PM,585.0399,(-1.4136750_ -0.4791245_ 2.3480040),(15.5348700_ 118.9329000_ 358.6621000),(0.0586947_ 0.8541726_ -0.1222801_ 0.5019879),0.75,(-1.1606640_ -0.5569684_ 2.2243000),(-0.8374314_ -0.9091197_ 1.7808860),(-0.0141427_ 0.0000028_ 0.2918505),(0.2223001_ -0.2006000_ 0.8654003),-2.774318,0.0005543595,14.4064,-13.05069,(-0.4891264_ -0.0224956_ -0.8719230),(0.2230370_ 0.9632050_ -0.1499687),(0.8432142_ -0.2678247_ -0.4661118),(-1.4043710_ -0.4778497_ 2.3796630):(-1.4370990_ -0.4793439_ 2.3237100),1:1,(-0.0501812_ -0.8276300_ 0.1282904_ -0.5441072):(-0.0541193_ -0.8564059_ 0.1161591_ -0.5001479),(0.8877633_ -0.2669619_ -0.3749791):(0.8440863_ -0.2530940_ -0.4727198),False:False,4.2500000:4.2500000,Good
571,99,03/15/2023 10:03:30.7184 PM,585.0568,(-1.4205500_ -0.4785787_ 2.3515330),(15.3492700_ 118.7016000_ 358.7923000),(0.0590907_ 0.8532687_ -0.1202095_ 0.5039748),0.75,(-1.1684490_ -0.5585840_ 2.2285060),(-0.8409136_ -0.9055719_ 1.7856060),(-0.0130947_ -0.0032560_ 0.2913925),(0.2223001_ -0.2005999_ 0.8654003),-2.573037,-0.6402014,14.4064,-13.05069,(-0.4850357_ -0.0203246_ -0.8742584),(0.2220056_ 0.9641160_ -0.1455815),(0.8458453_ -0.2647024_ -0.4631184),(-1.4116110_ -0.4772525_ 2.3835120):(-1.4438700_ -0.4785233_ 2.3272390),1:1,(-0.0548051_ -0.8269018_ 0.1296159_ -0.5444536):(-0.0592576_ -0.8557143_ 0.1184815_ -0.5002040),(0.8862121_ -0.2740369_ -0.3735404):(0.8420215_ -0.2620544_ -0.4715167),False:False,4.2900000:4.2600000,Good
572,99,03/15/2023 10:03:30.7348 PM,585.0732,(-1.4275920_ -0.4777011_ 2.3554870),(15.2007400_ 118.4337000_ 358.9673000),(0.0600136_ 0.8521384_ -0.1181956_ 0.5062494),0.75,(-1.1743890_ -0.5573434_ 2.2341060),(-0.8444881_ -0.9020271_ 1.7911180),(-0.0137595_ -0.0035692_ 0.2915232),(0.2223001_ -0.2006000_ 0.8654003),-2.702272,-0.7014624,14.4064,-13.05069,(-0.4802201_ -0.0173931_ -0.8769758),(0.2219527_ 0.9648563_ -0.1406743),(0.8486025_ -0.2622017_ -0.4594829),(-1.4185910_ -0.4765012_ 2.3877270):(-1.4504550_ -0.4775273_ 2.3312240),1:1,(-0.0565822_ -0.8252290_ 0.1279043_ -0.5472080):(-0.0609142_ -0.8541731_ 0.1166842_ -0.5030540),(0.8886696_ -0.2730250_ -0.3684088):(0.8451749_ -0.2606232_ -0.4666444),False:False,4.2900000:4.2600000,Good
573,99,03/15/2023 10:03:30.7525 PM,585.0903,(-1.4342970_ -0.4770253_ 2.3591690),(14.9846400_ 118.0953000_ 359.2747000),(0.0616813_ 0.8506809_ -0.1150501_ 0.5092161),0.75,(-1.1716020_ -0.5602305_ 2.2595780),(-0.8467103_ -0.8972648_ 1.7963940),(-0.0357502_ -0.0087834_ 0.2906804),(0.2222999_ -0.2006000_ 0.8654003),-7.011475,-1.730753,14.40639,-13.05069,(-0.4737890_ -0.0122285_ -0.8805537),(0.2221130_ 0.9659178_ -0.1329237),(0.8521679_ -0.2585601_ -0.4549251),(-1.4256730_ -0.4759709_ 2.3917390):(-1.4571040_ -0.4767060_ 2.3350730),1:1,(-0.0565441_ -0.7987800_ 0.1376146_ -0.5829375):(-0.0605250_ -0.8362126_ 0.1223613_ -0.5311437),(0.9157152_ -0.2857710_ -0.2824936):(0.8734864_ -0.2689350_ -0.4058298),False:False,4.3000000:4.2600000,Good
574,99,03/15/2023 10:03:30.7699 PM,585.1082,(-1.4414400_ -0.4765988_ 2.3635860),(14.9663800_ 117.8657000_ 359.4464000),(0.0631033_ 0.8495826_ -0.1140252_ 0.5111024),0.75,(-1.1784950_ -0.5612391_ 2.2653750),(-0.8516186_ -0.8959514_ 1.8024900),(-0.0359803_ -0.0102301_ 0.2907760),(0.2223001_ -0.2006000_ 0.8654001),-7.053864,-2.014956,14.4064,-13.05069,(-0.4695847_ -0.0093342_ -0.8828382),(0.2237801_ 0.9660324_ -0.1292432),(0.8540567_ -0.2582522_ -0.4515452),(-1.4329380_ -0.4761337_ 2.3962710):(-1.4640090_ -0.4764529_ 2.3394030),1:1,(-0.0604431_ -0.7970440_ 0.1373382_ -0.5849839):(-0.0643680_ -0.8345982_ 0.1218488_ -0.5333443),(0.9159136_ -0.2896457_ -0.2778649):(0.8745700_ -0.2720502_ -0.4013947),False:False,4.3000000:4.2600000,Good
575,99,03/15/2023 10:03:30.7848 PM,585.1234,(-1.4482340_ -0.4762738_ 2.3676320),(15.1306200_ 117.5946000_ 359.6788000),(0.0658299_ 0.8480823_ -0.1140498_ 0.5132402),0.75,(-1.1747910_ -0.5629952_ 2.2909180),(-0.8570055_ -0.8970066_ 1.8090560),(-0.0586103_ -0.0115132_ 0.2908764),(0.2223001_ -0.2005999_ 0.8654000),-11.3923,-2.266636,14.4064,-13.05069,(-0.4645019_ -0.0054115_ -0.8855557),(0.2287283_ 0.9653181_ -0.1258741),(0.8555241_ -0.2610204_ -0.4471543),(-1.4394430_ -0.4762148_ 2.4001950):(-1.4703130_ -0.4760933_ 2.3433210),1:1,(-0.0565888_ -0.7740018_ 0.1406204_ -0.6147726):(-0.0627662_ -0.8117873_ 0.1294567_ -0.5659535),(0.9357551_ -0.2872593_ -0.2045622):(0.9026167_ -0.2812281_ -0.3258764),False:False,4.2100000:4.2600000,Good
576,99,03/15/2023 10:03:30.8018 PM,585.14,(-1.4551910_ -0.4759459_ 2.3719750),(15.2325900_ 117.2873000_ 359.9796000),(0.0688168_ 0.8464260_ -0.1132726_ 0.5157487),0.75,(-1.1816070_ -0.5635800_ 2.2966750),(-0.8618536_ -0.8969481_ 1.8158430),(-0.0585005_ -0.0116242_ 0.2909303),(0.2223001_ -0.2006000_ 0.8654001),-11.36947,-2.288043,14.40641,-13.05069,(-0.4585351_ -0.0003438_ -0.8886762),(0.2333369_ 0.9648672_ -0.1207694),(0.8574961_ -0.2627380_ -0.4423453),(-1.4465070_ -0.4758900_ 2.4046170):(-1.4770210_ -0.4754161_ 2.3475530),1:1,(-0.0600097_ -0.7721949_ 0.1405728_ -0.6167275):(-0.0661581_ -0.8100968_ 0.1292035_ -0.5680426),(0.9355963_ -0.2911184_ -0.1997722):(0.9032434_ -0.2844959_ -0.3212675),False:False,4.2100000:4.2600000,Good
577,99,03/15/2023 10:03:30.8181 PM,585.1568,(-1.4620840_ -0.4754349_ 2.3757050),(15.4704800_ 117.1484000_ 359.9825000),(0.0700485_ 0.8455622_ -0.1149314_ 0.5166320),0.75,(-1.1913570_ -0.5665637_ 2.2980240),(-0.8689639_ -0.8996704_ 1.8218020),(-0.0544056_ -0.0141306_ 0.2906412),(0.2223000_ -0.2006000_ 0.8654000),-10.60258,-2.783449,14.4064,-13.05069,(-0.4563692_ -0.0002937_ -0.8897905),(0.2372152_ 0.9637679_ -0.1219847),(0.8575875_ -0.2667419_ -0.4397643),(-1.4537180_ -0.4753685_ 2.4082930):(-1.4841240_ -0.4751453_ 2.3511110),1:1,(-0.0634815_ -0.7746736_ 0.1458689_ -0.6120238):(-0.0693866_ -0.8122175_ 0.1338607_ -0.5635330),(0.9297174_ -0.3037059_ -0.2082981):(0.8968465_ -0.2956512_ -0.3290235),False:False,4.2300000:4.2100000,Good
578,99,03/15/2023 10:03:30.8350 PM,585.1733,(-1.4686460_ -0.4749800_ 2.3797560),(15.5469400_ 116.9540000_ 0.1915469),(0.0721295_ 0.8444775_ -0.1144309_ 0.5182285),0.75,(-1.1973770_ -0.5658841_ 2.3022590),(-0.8742918_ -0.8994745_ 1.8273770),(-0.0539243_ -0.0131732_ 0.2911612),(0.2223002_ -0.2006000_ 0.8654001),-10.49254,-2.590506,14.40641,-13.05069,(-0.4524733_ 0.0032208_ -0.8917722),(0.2404263_ 0.9634058_ -0.1185095),(0.8587568_ -0.2680278_ -0.4366897),(-1.4599380_ -0.4745625_ 2.4119470):(-1.4901950_ -0.4742487_ 2.3546870),1:1,(-0.0643656_ -0.7739304_ 0.1456526_ -0.6129227):(-0.0702464_ -0.8115278_ 0.1335936_ -0.5644830),(0.9299691_ -0.3043522_ -0.2062225):(0.8974184_ -0.2961357_ -0.3270237),False:False,4.2300000:4.2100000,Good
579,99,03/15/2023 10:03:30.8521 PM,585.1904,(-1.4751610_ -0.4748763_ 2.3835410),(15.7894400_ 116.8596000_ 0.2446740),(0.0737120_ 0.8437690_ -0.1159174_ 0.5188291),0.75,(-1.2054470_ -0.5643990_ 2.3014400),(-0.8815410_ -0.9024699_ 1.8327660),(-0.0486592_ -0.0103714_ 0.2915910),(0.2222998_ -0.2006000_ 0.8654000),-9.473924,-2.03705,14.40639,-13.05069,(-0.4507660_ 0.0041092_ -0.8926328),(0.2446744_ 0.9622594_ -0.1191271),(0.8584548_ -0.2721028_ -0.4347591),(-1.4664290_ -0.4746876_ 2.4155660):(-1.4966010_ -0.4742016_ 2.3582410),1:1,(-0.0637016_ -0.7793099_ 0.1402354_ -0.6074141):(-0.0720724_ -0.8156126_ 0.1320505_ -0.5586986),(0.9288613_ -0.2959602_ -0.2227637):(0.8923289_ -0.2959376_ -0.3408368),False:False,4.2000000:4.2400000,Good
580,99,03/15/2023 10:03:30.8681 PM,585.2064,(-1.4810610_ -0.4739859_ 2.3869390),(16.0689700_ 116.7270000_ 0.3119726),(0.0756078_ 0.8428329_ -0.1175839_ 0.5197020),0.75,(-1.2116950_ -0.5647924_ 2.3048320),(-0.8880794_ -0.9051200_ 1.8382390),(-0.0478667_ -0.0101840_ 0.2918056),(0.2223000_ -0.2006000_ 0.8654000),-9.315612,-1.998814,14.4064,-13.05069,(-0.4483865_ 0.0052322_ -0.8938245),(0.2496666_ 0.9609150_ -0.1196202),(0.8582634_ -0.2767942_ -0.4321676),(-1.4721000_ -0.4735096_ 2.4190320):(-1.5023410_ -0.4730383_ 2.3617430),1:1,(-0.0646397_ -0.7793375_ 0.1428209_ -0.6066771):(-0.0731708_ -0.8156009_ 0.1345748_ -0.5579703),(0.9271485_ -0.3010423_ -0.2230903):(0.8904684_ -0.3011729_ -0.3411175),False:False,4.2000000:4.2400000,Good
581,99,03/15/2023 10:03:30.8851 PM,585.2233,(-1.4871540_ -0.4739470_ 2.3900440),(16.3170500_ 116.8300000_ 0.3367354),(0.0768061_ 0.8430204_ -0.1193660_ 0.5188153),0.75,(-1.2198260_ -0.5646443_ 2.3020610),(-0.8968470_ -0.9083461_ 1.8410360),(-0.0421967_ -0.0086183_ 0.2925348),(0.2223000_ -0.2006000_ 0.8654001),-8.208027,-1.68748,14.4064,-13.05069,(-0.4498632_ 0.0056404_ -0.8930798),(0.2533560_ 0.9597052_ -0.1215596),(0.8564076_ -0.2809523_ -0.4331651),(-1.4778190_ -0.4735107_ 2.4215530):(-1.5083030_ -0.4730606_ 2.3643550),1:1,(-0.0661430_ -0.7848511_ 0.1430551_ -0.5993072):(-0.0735164_ -0.8212656_ 0.1323977_ -0.5500810),(0.9218097_ -0.3038339_ -0.2407324):(0.8840584_ -0.2983473_ -0.3597637),False:False,4.2400000:4.2400000,Good
582,99,03/15/2023 10:03:30.9010 PM,585.2399,(-1.4929460_ -0.4726360_ 2.3933560),(16.7497600_ 116.9054000_ 0.3651768),(0.0788905_ 0.8428738_ -0.1224734_ 0.5180159),0.75,(-1.2260090_ -0.5647521_ 2.3047520),(-0.9063231_ -0.9127659_ 1.8449640),(-0.0418308_ -0.0077845_ 0.2928835),(0.2222998_ -0.2006000_ 0.8654000),-8.128237,-1.522503,14.40639,-13.0507,(-0.4508718_ 0.0061031_ -0.8925679),(0.2598757_ 0.9575531_ -0.1247262),(0.8539200_ -0.2881922_ -0.4333197),(-1.4832240_ -0.4719989_ 2.4246740):(-1.5138710_ -0.4716003_ 2.3675630),1:1,(-0.0667572_ -0.7853137_ 0.1458985_ -0.5979463):(-0.0743157_ -0.8216577_ 0.1351983_ -0.5487053),(0.9196713_ -0.3089867_ -0.2423482):(0.8816013_ -0.3037282_ -0.3612885),False:False,4.2400000:4.2400000,Good
