frame,PathIDX,seconds,gaze_confidence,gaze_vector,target_vector,gaze_vis_x,gaze_vis_y,target_vis_x,target_vis_y,left_right_eye_is_blinking,gaze_x_recal,gaze_y_recal,correction_index
0,99,0.0,0.0,"[0.039845, -0.0154863, 0.3185679]","[0.1595114, -0.101917, 1.039208]",9.40648,-4.441289,8.726411,-5.601189,True,9.10339358066729,-5.042327241925512,6
1,99,0.01700000000005275,0.35,"[0.039771, -0.0214423, 0.3170988]","[0.1776146, -0.111508, 1.033641]",10.47727,-6.658029,9.750142,-6.157193,True,10.130717530481048,-7.1945446373783986,6
2,99,0.0340000000001055,0.35,"[0.0395157, -0.0218472, 0.3168781]","[0.1914751, -0.1147467, 1.029201]",10.63408,-6.613289,10.53896,-6.361692,True,10.278886965375644,-7.155033238675064,6
3,99,0.05100000000015825,0.7,"[0.0882166, -0.0741234, 0.6592829]","[0.2007355, -0.11478, 1.026173]",12.5072,-3.660866,11.06819,-6.382152,True,12.033899494696687,-4.361150500316015,6
4,99,0.06799999999998363,0.7,"[0.0895492, -0.073523, 0.6589253]","[0.2124899, -0.1121858, 1.022623]",12.64424,-3.524143,11.7384,-6.260538,True,12.162786948836073,-4.2328761651589515,6
5,99,0.08400000000006003,0.6,"[0.0825594, -0.0340148, 0.4745722]","[0.2200107, -0.1078167, 1.021426]",13.33898,-5.826146,12.15555,-6.025549,False,12.834646358169858,-6.458693090336144,6
6,99,0.10100000000011278,0.6,"[0.078762, -0.0369269, 0.4754292]","[0.2311819, -0.0990965, 1.018712]",13.31376,-5.862984,12.78589,-5.55604,False,12.810998627480036,-6.493512267919433,6
7,99,0.11800000000016553,0.67,"[0.1149517, -0.0725596, 0.6216]","[0.2354774, -0.0939807, 1.017962]",14.44756,-2.313509,13.02471,-5.274732,False,13.862452143598693,-3.1100330308758504,6
8,99,0.13400000000001455,0.67,"[0.1165807, -0.0719866, 0.6209006]","[0.2403155, -0.0931267, 1.015976]",14.40073,-2.308443,13.30796,-5.237229,False,13.818089066875126,-3.1041377944083024,6
9,99,0.1510000000000673,0.6,"[0.0915987, -0.0264198, 0.4129294]","[0.2435231, -0.0883085, 1.015692]",14.356,-4.852367,13.48278,-4.969042,False,13.7914154370986,-5.545989696427543,6
10,99,0.16800000000012005,0.6,"[0.092538, -0.0254037, 0.4124947]","[0.2469125, -0.0819854, 1.014694]",14.38334,-4.740267,13.67638,-4.619361,False,13.81660647232951,-5.438945853612526,6
11,99,0.18399999999996908,0.6,"[0.1253489, -0.0539427, 0.5286562]","[0.2471501, -0.0868261, 1.013803]",14.06866,-4.328852,13.70061,-4.895088,False,13.516178695122079,-5.036954361425744,6
12,99,0.20100000000002183,0.6,"[0.1249923, -0.0542381, 0.5281881]","[0.2468442, -0.0867255, 1.013905]",14.25758,-4.46861,13.68298,-4.888961,False,13.695881719215809,-5.175316190543431,6
13,99,0.21800000000007458,0.8,"[0.1043091, -0.0163565, 0.4048618]","[0.2461821, -0.0838788, 1.014224]",13.905,-4.841821,13.64352,-4.72774,False,13.364408905086664,-5.525938028811445,6
14,99,0.23400000000015098,0.8,"[0.1038986, -0.0163116, 0.404637]","[0.2446614, -0.0842335, 1.014734]",14.43038,-5.053457,13.5558,-4.745271,False,13.863066353322315,-5.740725805056071,6
15,99,0.25099999999997635,0.9,"[0.1285314, -0.042633, 0.5021976]","[0.2425855, -0.0849311, 1.015103]",13.75487,-4.644348,13.44027,-4.782654,False,13.221071125195467,-5.3330082325468755,6
16,99,0.2680000000000291,0.9,"[0.1286938, -0.0416134, 0.501835]","[0.2417449, -0.0849223, 1.01574]",13.65738,-4.66177,13.38728,-4.779176,False,13.128889011011358,-5.347592564629194,6
17,99,0.2840000000001055,0.8,"[0.1269624, -0.0383504, 0.5066313]","[0.2383558, -0.0828257, 1.017725]",13.21148,-4.690339,13.18136,-4.652658,False,12.706951365042363,-5.365213817337971,6
18,99,0.30100000000015825,0.8,"[0.1284949, -0.0395183, 0.5056698]","[0.2331847, -0.0792313, 1.019969]",13.13792,-4.641236,12.87762,-4.441825,False,12.637012927790233,-5.316443254690836,6
19,99,0.31799999999998363,0.9,"[0.1550869, -0.0530643, 0.6264424]","[0.2235964, -0.0775736, 1.023294]",12.18439,-4.209617,12.32577,-4.335171,False,11.731689916012405,-4.8809920357718255,6
20,99,0.3400000000001455,0.9,"[0.1604126, -0.055126, 0.6233935]","[0.216521, -0.0738133, 1.026459]",12.14109,-4.203611,11.91134,-4.113095,False,11.690662742443195,-4.8742718334268575,6
21,99,0.3530000000000655,0.9,"[0.1362745, -0.045225, 0.5567029]","[0.2069482, -0.0699039, 1.030082]",10.95609,-3.986207,11.35976,-3.882281,False,10.567536951709064,-4.6394296220353635,6
22,99,0.36800000000016553,0.9,"[0.1351657, -0.0453601, 0.5562699]","[0.1994183, -0.0679527, 1.033497]",10.94186,-4.026002,10.92128,-3.761801,False,10.554311178251172,-4.677330144082166,6
23,99,0.3910000000000764,0.9,"[0.1379006, -0.0481944, 0.5874128]","[0.1927055, -0.0641099, 1.037552]",9.940048,-3.595626,10.52171,-3.535788,False,9.60328940883716,-4.242010035512238,6
24,99,0.40200000000004366,0.9,"[0.1373925, -0.0477876, 0.5886444]","[0.1842817, -0.0607217, 1.041754]",9.985332,-3.609429,10.0316,-3.335878,False,9.646242775230617,-4.256261068925377,6
25,99,0.42000000000007276,1.0,"[0.1357058, -0.0462597, 0.6284934]","[0.1752062, -0.0571464, 1.0463]",8.870395,-3.428572,9.506166,-3.126253,False,8.589667624490602,-4.058055402061841,6
26,99,0.43600000000014916,1.0,"[0.1351757, -0.0461822, 0.6283396]","[0.166417, -0.0561361, 1.050912]",8.963099,-3.467676,8.998344,-3.057638,False,8.677667239430559,-4.097645578445824,6
27,99,0.4519999999999982,1.0,"[0.1172301, -0.0421994, 0.6055741]","[0.1611074, -0.0571384, 1.055082]",8.10375,-3.468991,8.681803,-3.099846,False,7.864167997823594,-4.07999743799786,6
28,99,0.46900000000005093,1.0,"[0.1169842, -0.0425893, 0.6051093]","[0.1538512, -0.0534452, 1.059921]",8.144934,-3.37489,8.259001,-2.886625,False,7.902575401604193,-3.990542021824317,6
29,99,0.48500000000012733,1.0,"[0.1058348, -0.0379487, 0.6039135]","[0.1484478, -0.0517364, 1.064223]",7.306418,-3.114642,7.940914,-2.783199,False,7.107186634727185,-3.7221830480640206,6
30,99,0.5030000000001564,1.0,"[0.106282, -0.0380787, 0.6036588]","[0.1431537, -0.0529771, 1.06879]",7.16468,-3.387575,7.628791,-2.837677,False,6.9746908308361615,-3.9811514295327033,6
