Name,ISI,precision_smooth,precision_fixate
participant-001,0.01680016116035457,0.35285033419830836,0.46503452652882465
participant-002,0.016772667310167317,0.653895585720703,1.0316928374867251
participant-003,0.016737395632626842,0.32994702414714694,0.43296506674753304
participant-004,0.01679958091553836,1.240260163863553,1.6947746599262656
participant-005,0.01680463842808826,0.28295279573504334,0.2855433868723103
participant-006,0.016827517753389278,0.2574984859545726,0.522020607769372
participant-007,0.01677488499276178,0.4360402853482135,0.45805792784457955
participant-008,0.016777962009014807,0.23815033280203626,0.6572380929476017
participant-009,0.016816156078684297,0.3272986130975108,0.373554687947618
participant-010,0.01677485916626429,0.3755637622335926,0.27637045491614104
participant-011,0.016868650922031703,0.30818928862215644,0.18827599750201945
participant-014,0.0167623130127071,1.406802409090548,0.6120424521736665
participant-015,0.016786220218931076,0.5890064072894274,0.4437741861883225
participant-016,0.01675036167818678,0.4201790532602319,0.5844709657817778
participant-017,0.01674930120481928,0.23004304056856748,0.5080354036205083
participant-018,0.016766184273999032,0.3343977622600178,0.6318921270834404
participant-019,0.016825516462233698,0.14982942469198368,0.21575405995366517
participant-020,0.016744473007712084,0.4085311946841724,0.5706016492743075
participant-021,0.016786169698921258,0.5233702924429616,1.372875431841159
participant-022,0.016782643696667217,0.5234380530508743,0.7565882773782252
participant-023,0.016800628728034818,0.22023304825760662,0.24685143610432606
participant-024,0.01678158699501048,0.6931737608271403,1.172136374547055
participant-025,0.016837074115937337,0.5782481261843766,0.6622112990035358
participant-027,0.016737241047053156,1.3683079123712099,1.1096262598304394
participant-028,0.016825762711864402,0.7673214588297769,0.8673439855413013
participant-029,0.016727191011235956,0.37075320155409697,0.6971572635788966
participant-030,0.016754345381526103,0.6346101526966128,0.7354062178544453
participant-031,0.0168269572235674,0.2477319580142085,0.3503180122001761
participant-033,0.016805094309205255,0.8671173990218148,0.9098869023648651
participant-034,0.016823370967741932,0.32576133651384753,0.36410321347199814
participant-036,0.016752201864352303,1.3777062231477646,1.0124653192775868
