Name,pearsonr,pearsonr_recal,ISI,precision
participant-001_callibrate_recal,"[0.3328302025099176, 2.026105226333142e-55]","[0.12528533791765717, 8.589286704877037e-09]",0.01672335052945967,1.3155378163545624
participant-002_callibrate_recal,"[0.5818970359156748, 4.902802896708397e-191]","[0.5846649515415476, 2.8412194664457895e-193]",0.016724966078697428,1.758179848709112
participant-003_callibrate_recal,"[0.6572506045806246, 1.0736382872568729e-261]","[0.6013656953535932, 4.063328624079794e-208]",0.016758385430823586,1.969867687319259
participant-004_callibrate_recal,"[-0.5661345648393019, 7.821303911742802e-175]","[-0.5721548531003734, 2.2963602554994368e-179]",0.016756482739874956,2.31605962287504
participant-005_callibrate_recal,"[-0.009414561279062289, 0.6697204639041842]","[-0.09751588409036191, 9.49045188349767e-06]",0.01675504213101386,1.6003190034467232
participant-006_callibrate_recal,"[0.49741206836401264, 2.1272796302402564e-134]","[0.3803807045720087, 9.113310126963951e-75]",0.016756137968495382,1.1422212936815639
participant-007_callibrate_recal,"[0.6243590391685838, 2.8070922912329037e-232]","[0.15583253536795683, 3.89632832976001e-13]",0.01676559345156891,0.8921919382699034
participant-008_callibrate_recal,"[0.4275726520037181, 2.274640544174641e-95]","[0.3315315698373218, 8.653039458773391e-56]",0.01676515357434088,1.3232375426970588
participant-009_callibrate_recal,"[-0.05202569286380247, 0.01576774078535284]","[-0.01727551908276461, 0.42302409066797597]",0.016768070652173915,1.547666075121536
participant-010_callibrate_recal,"[-0.6500138384215326, 1.0739165880974169e-257]","[-0.8107657636565129, 0.0]",0.016753207753207742,1.0553988653263608
participant-011_callibrate_recal,"[-0.13624327044470014, 3.3655529028411093e-10]","[-0.13219832217071045, 1.1097049894487024e-09]",0.016759006550218333,1.8690555076558806
participant-012_callibrate_recal,"[0.4824770247345289, 1.97949971680253e-122]","[0.5198644728016735, 3.440833111071084e-145]",0.016724850299401198,1.9017061031681264
participant-013_callibrate_recal,"[-0.5024295190616468, 1.9986564122512982e-135]","[-0.3328212941467722, 8.940684977777627e-56]",0.016747788093937753,1.67308046857819
participant-014_callibrate_recal,"[-0.310306156484667, 5.186398694384823e-41]","[-0.6645519756686491, 3.934842402959596e-227]",0.01676542538733347,1.465725449879906
participant-015_callibrate_recal,"[-0.3264639390560909, 1.1341613987102716e-51]","[-0.5518323303185075, 2.6634454907148224e-162]",0.01673947296930168,2.020202270996634
participant-016_callibrate_recal,"[0.7285572824691333, 0.0]","[0.7349208958439151, 0.0]",0.01672571584401419,1.2191423085174902
participant-017_callibrate_recal,"[0.4989985000442568, 4.532757088558949e-134]","[0.5374024340651142, 3.500855047692571e-159]",0.016725898692810447,1.5749359819768074
participant-018_callibrate_recal,"[0.2779257122146257, 1.428085611183424e-37]","[0.26412795084445373, 5.702400903320044e-34]",0.016722381210969316,1.3835623626509506
participant-019_callibrate_recal,"[0.036966445514489694, 0.0875514440809392]","[-0.1172174355178481, 5.502294263207594e-08]",0.016764881761348223,0.693258672024142
