frame,PathIDX,seconds,gaze_confidence,gaze_vector,target_vector,gaze_vis_x,gaze_vis_y,target_vis_x,target_vis_y,left_right_eye_is_blinking,gaze_x_recal,gaze_y_recal,correction_index
0,99,0.0,0.52,"[-0.0383679, 0.0737229, 0.9407827]","[-0.0812403, 0.0790195, 1.125212]",-1.163484,3.462293,-4.129592,4.017077,False,-2.8184774358887856,8.03104931535424,5
1,99,0.01670000000001437,0.52,"[-0.0367341, 0.0739128, 0.9410764]","[-0.0807271, 0.0777326, 1.124661]",-1.246551,3.370364,-4.105597,3.953793,False,-2.8873106307034186,7.9009641741994265,5
2,99,0.03340000000002874,0.52,"[-0.0210393, 0.0461964, 0.7278708]","[-0.0821223, 0.0778073, 1.123489]",-1.884607,3.326455,-4.180643,3.961699,False,-3.530587583289434,7.894487836972127,5
3,99,0.050299999999992906,0.52,"[-0.0206157, 0.0452323, 0.7279772]","[-0.0837894, 0.0778112, 1.122133]",-2.732499,3.4086,-4.270336,3.966669,False,-4.4097209748829735,8.09649772519591,5
4,99,0.0665000000000191,0.7,"[-0.0142127, 0.0403724, 0.6678041]","[-0.0874043, 0.0776426, 1.120061]",-2.682998,3.403626,-4.462048,3.965395,False,-4.358365224817607,8.084436885583438,5
5,99,0.08429999999998472,0.7,"[-0.0135646, 0.0404091, 0.6678968]","[-0.0916231, 0.0782471, 1.118192]",-3.120733,3.065575,-4.684273,4.002832,False,-4.746415116603298,7.6183772506209095,5
6,99,0.09979999999995925,0.7,"[-0.0136469, 0.0369345, 0.6271579]","[-0.0975781, 0.0782874, 1.115973]",-3.661263,2.827305,-4.997102,4.012823,False,-5.256585484145284,7.3114614827539075,5
7,99,0.13949999999999818,0.8,"[-0.0237164, 0.041893, 0.7207661]","[-0.103332, 0.0785791, 1.113606]",-3.797561,2.903303,-5.30132,4.036257,False,-5.408767822345611,7.4380683005109365,5
8,99,0.14679999999998472,0.8,"[-0.0342092, 0.0426916, 0.7167647]","[-0.1165214, 0.0791055, 1.108408]",-4.376211,2.8859,-6.001174,4.082195,False,-5.996030640582958,7.465801748128538,5
9,99,0.1634999999999991,0.8,"[-0.0336211, 0.0426704, 0.7174578]","[-0.1213263, 0.0790154, 1.105495]",-4.169258,2.784723,-6.263051,4.088272,False,-5.767418466728405,7.294876996017782,5
10,99,0.18070000000000164,0.8,"[-0.0375437, 0.0368788, 0.6886092]","[-0.1274844, 0.0805601, 1.102761]",-4.262414,2.772327,-6.594391,4.17821,False,-5.860301355937379,7.2849588431136905,5
11,99,0.19709999999997763,0.8,"[-0.0434328, 0.0335213, 0.678763]","[-0.1361596, 0.0825731, 1.098846]",-4.966138,3.252497,-7.063601,4.297431,False,-6.661223323589051,8.070241659510968,5
12,99,0.21420000000000528,0.8,"[-0.0450582, 0.0344268, 0.6788204]","[-0.1416556, 0.0849763, 1.096226]",-5.039603,3.240638,-7.363026,4.432541,False,-6.734112574869046,8.059296993238343,5
13,99,0.23059999999998126,0.7,"[-0.0516767, 0.0340408, 0.675263]","[-0.1449417, 0.0840203, 1.093092]",-5.603719,3.483935,-7.553242,4.39539,False,-7.351646710892852,8.476496085201,5
14,99,0.24879999999996016,0.7,"[-0.0493996, 0.0329626, 0.6776721]","[-0.1492095, 0.0864279, 1.089792]",-5.775338,3.548969,-7.796212,4.534452,False,-7.537962927725528,8.589952020648921,5
15,99,0.2635999999999967,0.7,"[-0.0503751, 0.0327296, 0.6758966]","[-0.1559278, 0.0889331, 1.085678]",-6.421958,3.898028,-8.173077,4.682917,False,-8.257953581267282,9.173373803086134,5
16,99,0.280399999999986,0.8,"[-0.0569821, 0.0372661, 0.6557716]","[-0.1618613, 0.0901738, 1.082197]",-6.950319,4.205985,-8.506522,4.763157,False,-8.850199738171312,9.684179523071252,5
17,99,0.29710000000000036,0.8,"[-0.0578058, 0.0371148, 0.6555042]","[-0.1660135, 0.0935501, 1.07834]",-7.211474,4.332066,-8.752131,4.95821,False,-9.138410687070628,9.897479598952648,5
18,99,0.3143999999999778,0.8,"[-0.0653048, 0.0405216, 0.665585]","[-0.1711804, 0.0948644, 1.074365]",-8.487629,5.478246,-9.052938,5.046021,False,-10.638471937013708,11.734427439836647,5
19,99,0.3303999999999405,0.8,"[-0.0670958, 0.0411435, 0.6633855]","[-0.1754164, 0.0958652, 1.070422]",-8.496447,5.619094,-9.306675,5.117661,False,-10.67183169298648,11.946394026607353,5
20,99,0.3471999999999298,0.8,"[-0.0765375, 0.0463338, 0.679994]","[-0.1801661, 0.0992389, 1.066242]",-9.82237,5.970624,-9.590848,5.317403,False,-12.085197880178331,12.596704649602898,5
21,99,0.3691000000000031,0.8,"[-0.0840689, 0.0507157, 0.6896296]","[-0.1864568, 0.0995289, 1.061817]",-10.0289,5.989789,-9.959693,5.354947,False,-12.299191689059459,12.64464519550509,5
22,99,0.3812000000000353,0.8,"[-0.0870038, 0.0520878, 0.6875989]","[-0.1885699, 0.1057042, 1.057808]",-10.88219,6.916749,-10.10764,5.706485,False,-13.32997206319813,14.113626262819315,5
23,99,0.3975000000000364,0.8,"[-0.1143589, 0.0734951, 0.7663249]","[-0.1883176, 0.1096689, 1.054139]",-11.01066,6.913447,-10.12881,5.939479,False,-13.460451429039036,14.12062568870657,5
24,99,0.41409999999996217,0.8,"[-0.1145828, 0.0754648, 0.7670171]","[-0.1871744, 0.1099571, 1.050614]",-11.03956,7.492439,-10.10166,5.974816,False,-13.59008902950486,14.991285439800704,5
25,99,0.43070000000000164,0.8,"[-0.1299768, 0.0785166, 0.750738]","[-0.1872267, 0.1124431, 1.047093]",-10.95949,7.517007,-10.13771,6.129272,False,-13.512660574128883,15.02066791607752,5
